,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,[' Bonanza'],[' Alkaram studio'],0.26136363636363635,0.13636363636363635,0.056818181818181816,0.21739130434782608,1.5942028985507246,0.021177685950413222,1.1035353535353536
1,[' Alkaram studio'],[' Bonanza'],0.13636363636363635,0.26136363636363635,0.056818181818181816,0.4166666666666667,1.5942028985507248,0.021177685950413222,1.2662337662337664
2,[' Borjan'],[' Alkaram studio'],0.2727272727272727,0.13636363636363635,0.022727272727272728,0.08333333333333334,0.6111111111111113,-0.014462809917355365,0.9421487603305786
3,[' Alkaram studio'],[' Borjan'],0.13636363636363635,0.2727272727272727,0.022727272727272728,0.16666666666666669,0.6111111111111113,-0.014462809917355365,0.8727272727272728
4,[' Gulahmed'],[' Alkaram studio'],0.19318181818181818,0.13636363636363635,0.045454545454545456,0.23529411764705885,1.7254901960784317,0.019111570247933887,1.1293706293706294
5,[' Alkaram studio'],[' Gulahmed'],0.13636363636363635,0.19318181818181818,0.045454545454545456,0.33333333333333337,1.7254901960784317,0.019111570247933887,1.210227272727273
6,[' Hush puppies'],[' Alkaram studio'],0.17045454545454544,0.13636363636363635,0.03409090909090909,0.2,1.4666666666666668,0.010847107438016531,1.0795454545454546
7,[' Alkaram studio'],[' Hush puppies'],0.13636363636363635,0.17045454545454544,0.03409090909090909,0.25,1.4666666666666668,0.010847107438016531,1.1060606060606062
8,[' J.'],[' Alkaram studio'],0.4090909090909091,0.13636363636363635,0.03409090909090909,0.08333333333333333,0.6111111111111112,-0.021694214876033062,0.9421487603305786
9,[' Alkaram studio'],[' J.'],0.13636363636363635,0.4090909090909091,0.03409090909090909,0.25,0.611111111111111,-0.021694214876033062,0.7878787878787877
10,[' Limelight'],[' Alkaram studio'],0.125,0.13636363636363635,0.011363636363636364,0.09090909090909091,0.6666666666666667,-0.00568181818181818,0.9500000000000001
11,[' Alkaram studio'],[' Limelight'],0.13636363636363635,0.125,0.011363636363636364,0.08333333333333334,0.6666666666666667,-0.00568181818181818,0.9545454545454546
12,[' Maria.B'],[' Alkaram studio'],0.13636363636363635,0.13636363636363635,0.045454545454545456,0.33333333333333337,2.444444444444445,0.02685950413223141,1.2954545454545456
13,[' Alkaram studio'],[' Maria.B'],0.13636363636363635,0.13636363636363635,0.045454545454545456,0.33333333333333337,2.444444444444445,0.02685950413223141,1.2954545454545456
